title,job_title_eng,deadline,employment_term,job_type,category,location,job_link
Lawyer,lawyer-54,15 November 2019,Permanent,Full time,Legal,Yerevan,https://staff.am/en/lawyer-54
LAWYER (civil law),lawyer-civil-law,25 October 2019,Permanent,Full time,Legal,Yerevan,https://staff.am/en/lawyer-civil-law
